newsletter_source,product_name,category,price,availability,product_url,image_url,product_description
Uniqlo,Women's Cotton A-Line Dress,Women's Dresses,$49.90,New Arrival,https://www.uniqlo.com/us/en/products/567890-womens-cotton-dress.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/567890/item/goods_63_567890.jpg,"Flowy A-line dress crafted from soft, breathable cotton. Versatile for any occasion."
Uniqlo,Kids' Organic Cotton T-Shirt,Kids' Tops,$14.90,In Stock,https://www.uniqlo.com/us/en/products/123456-kids-organic-cotton-tshirt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/123456/item/goods_34_123456.jpg,Soft and comfortable cotton t-shirt for kids.  Durable design made for active play.
Uniqlo,Men's Stretch Slim Fit Jeans,Men's Jeans,$39.90,In Stock,https://www.uniqlo.com/us/en/products/789012-mens-stretch-jeans.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/789012/item/goods_01_789012.jpg,"Straight-fit jeans with a comfortable stretch. Classic style, suitable for everyday wear."
Uniqlo,Women's Ultra Stretch Wide Leg Pants,Women's Pants,$29.90,Online Exclusive,https://www.uniqlo.com/us/en/products/345678-womens-wide-leg-pants.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/345678/item/goods_45_345678.jpg,"High-waisted, comfortable wide-leg pants for a relaxed style. Lightweight and breathable."
Uniqlo,Men's Merino Blend Crew Neck Sweater,Men's Sweaters,$29.90,In Stock,https://www.uniqlo.com/us/en/products/901234-mens-merino-sweater.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/901234/item/goods_62_901234.jpg,"Soft, cozy sweater made from a blend of Merino wool and cashmere. Perfect for cooler weather."
Uniqlo,Women's Crew Neck Short Sleeve T-Shirt,Women's T-Shirts,$14.90,In Stock,https://www.uniqlo.com/us/en/products/567812-womens-cotton-tshirt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/567812/item/goods_02_567812.jpg,Soft cotton t-shirt with a comfortable fit. Casual and versatile.
Uniqlo,Baby Cotton Bodysuit,Baby Clothing,$9.90,New Arrival,https://www.uniqlo.com/us/en/products/135792-baby-cotton-bodysuit.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/135792/item/goods_49_135792.jpg,"Soft and gentle cotton bodysuit, perfect for newborns. Easy to dress and undress."
Uniqlo,Men's Ultra Light Down Jacket,Men's Outerwear,$79.90,In Stock,https://www.uniqlo.com/us/en/products/246801-mens-ultralight-down-jacket.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/246801/item/goods_04_246801.jpg,Lightweight down jacket with excellent warmth-to-weight ratio.  Packable design for travel.
Uniqlo,Women's Cashmere Blend Crew Neck Sweater,Women's Sweaters,$34.90,In Stock,https://www.uniqlo.com/us/en/products/357912-womens-cashmere-sweater.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/357912/item/goods_31_357912.jpg,Soft and warm cashmere blend sweater.  Classic cable knit design for a touch of elegance.
Uniqlo,Men's Cotton Chino Shorts,Men's Shorts,$19.90,In Stock,https://www.uniqlo.com/us/en/products/468012-mens-cotton-shorts.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/468012/item/goods_12_468012.jpg,"Comfortable and durable cotton shorts, perfect for warm weather.  Classic fit and style."
Uniqlo,Women's Ultra Stretch Leggings,Women's Leggings,$24.90,Online Exclusive,https://www.uniqlo.com/us/en/products/579123-womens-ultra-stretch-leggings.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/579123/item/goods_54_579123.jpg,High-waisted leggings with excellent stretch and recovery.  Comfortable for all-day wear.
Uniqlo,Kids' Cotton Jogger Pants,Kids' Bottoms,$16.90,In Stock,https://www.uniqlo.com/us/en/products/680123-kids-cotton-joggers.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/680123/item/goods_28_680123.jpg,Durable and comfortable kids' joggers.  Made from soft cotton for all-day play.
Uniqlo,Men's Supima Cotton Polo Shirt,Men's Polos,$24.90,In Stock,https://www.uniqlo.com/us/en/products/791234-mens-supima-polo.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/791234/item/goods_07_791234.jpg,Classic cotton polo shirt with a comfortable fit.  Versatile for work or casual wear.
Uniqlo,Women's Linen Blend Button Down Shirt,Women's Shirts,$29.90,New Arrival,https://www.uniqlo.com/us/en/products/801234-womens-linen-shirt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/801234/item/goods_81_801234.jpg,"Lightweight and breathable linen shirt, perfect for warmer weather.  Relaxed fit and flattering style."
Uniqlo,Men's AIRism Boxer Briefs,Men's Innerwear,$12.90,In Stock,https://www.uniqlo.com/us/en/products/912345-mens-airism-briefs.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/912345/item/goods_19_912345.jpg,Soft and comfortable AIRism boxer briefs.  Moisture-wicking and breathable.
Uniqlo,Women's Ultra Warm Down Coat,Women's Outerwear,$99.90,In Stock,https://www.uniqlo.com/us/en/products/023456-womens-down-coat.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/023456/item/goods_23_023456.jpg,Warm and stylish down coat perfect for winter.  Features a water-resistant outer shell.
Uniqlo,Kids' Water Resistant Jacket,Kids' Outerwear,$39.90,In Stock,https://www.uniqlo.com/us/en/products/134567-kids-water-resistant-jacket.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/134567/item/goods_76_134567.jpg,Water-resistant and windproof jacket for kids.  Keeps your child warm and dry.
Uniqlo,Women's Pleated Midi Skirt,Women's Skirts,$24.90,In Stock,https://www.uniqlo.com/us/en/products/245678-womens-pleated-skirt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/245678/item/goods_41_245678.jpg,Flowy pleated skirt made from lightweight material.  Perfect for summer.
Uniqlo,Men's Chino Pants,Men's Pants,$29.90,Online Exclusive,https://www.uniqlo.com/us/en/products/356789-mens-chino-pants.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/356789/item/goods_15_356789.jpg,Comfortable and versatile chinos.  Perfect for work or casual wear.
Uniqlo,Women's High-Waisted Straight Jeans,Women's Jeans,$39.90,In Stock,https://www.uniqlo.com/us/en/products/467890-womens-straight-jeans.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/467890/item/goods_29_467890.jpg,"High-waisted, straight-leg jeans with a comfortable stretch.  Classic style."
Uniqlo,Baseball Cap,Accessories - Hats,$14.90,In Stock,https://www.uniqlo.com/us/en/products/578901-baseball-cap.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/578901/item/goods_51_578901.jpg,Stylish and practical baseball cap.  Protects you from the sun.
Uniqlo,Women's Cashmere Blend Cardigan,Women's Cardigans,$34.90,New Arrival,https://www.uniqlo.com/us/en/products/689012-womens-cashmere-cardigan.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/689012/item/goods_72_689012.jpg,Soft and cozy cardigan made from a blend of cotton and cashmere.  Perfect for layering.
Uniqlo,Men's Fleece Hoodie,Men's Hoodies,$29.90,In Stock,https://www.uniqlo.com/us/en/products/790123-mens-fleece-hoodie.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/790123/item/goods_03_790123.jpg,Cozy fleece hoodie with a kangaroo pocket.  Perfect for everyday wear.
Uniqlo,Women's Silk Blouse,Women's Blouses,$24.90,In Stock,https://www.uniqlo.com/us/en/products/801235-womens-silk-blouse.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/801235/item/goods_67_801235.jpg,Lightweight and breathable silk blouse.  Perfect for dressing up or down.
Uniqlo,Kids' Cotton Underwear,Kids' Innerwear,$11.90,Online Exclusive,https://www.uniqlo.com/us/en/products/912346-kids-cotton-underwear.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/912346/item/goods_38_912346.jpg,Soft and comfortable cotton underwear for kids.  Durable design for everyday wear.
Uniqlo,Men's Dry-EX Crew Neck T-Shirt,Men's Sport Utility Wear,$34.90,In Stock,https://www.uniqlo.com/us/en/products/023457-mens-dry-ex-tshirt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/023457/item/goods_17_023457.jpg,Moisture-wicking and breathable athletic t-shirt.  Perfect for any workout.
Uniqlo,Women's Dry-EX Sports Bra,Women's Sport Utility Wear,$29.90,New Arrival,https://www.uniqlo.com/us/en/products/134568-womens-dry-ex-sports-bra.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/134568/item/goods_57_134568.jpg,Supportive and comfortable sports bra.  Moisture-wicking and breathable.
Uniqlo,Cotton Crew Socks,Accessories - Socks,$7.90,In Stock,https://www.uniqlo.com/us/en/products/245679-cotton-crew-socks.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/245679/item/goods_83_245679.jpg,Comfortable crew socks made from soft cotton.  Perfect for everyday wear.
Uniqlo,Baby Cotton Pajamas,Baby Clothing,$11.90,In Stock,https://www.uniqlo.com/us/en/products/356790-baby-cotton-pajamas.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/356790/item/goods_91_356790.jpg,Soft and comfortable cotton pajamas for babies.  Features a cute design.
Uniqlo,Men's Oxford Cloth Button-Down Shirt,Men's Shirts,$29.90,In Stock,https://www.uniqlo.com/us/en/products/467891-mens-oxford-shirt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/467891/item/goods_42_467891.jpg,Oxford cloth button-down shirt.  Classic style and versatile.
Uniqlo,Women's Stretch Pants,Women's Pants,$24.90,Online Exclusive,https://www.uniqlo.com/us/en/products/578902-womens-stretch-pants.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/578902/item/goods_13_578902.jpg,Comfortable and versatile stretch pants.  Perfect for work or casual wear.
Uniqlo,Kids' Organic Cotton Long Sleeve Shirt,Kids' Tops,$12.90,New Arrival,https://www.uniqlo.com/us/en/products/689013-kids-organic-long-sleeve-shirt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/689013/item/goods_64_689013.jpg,Soft and comfortable long sleeve shirt for kids.  Made from organic cotton.
Uniqlo,Men's Puffer Jacket,Men's Outerwear,$69.90,In Stock,https://www.uniqlo.com/us/en/products/790124-mens-puffer-jacket.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/790124/item/goods_36_790124.jpg,Warm and stylish puffer jacket.  Perfect for winter weather.
Uniqlo,Women's Fleece Hoodie,Women's Hoodies,$29.90,In Stock,https://www.uniqlo.com/us/en/products/801236-womens-fleece-hoodie.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/801236/item/goods_78_801236.jpg,Cozy fleece hoodie with a drawstring hood.  Perfect for everyday wear.
Uniqlo,Cashmere Scarf,Accessories - Scarves,$19.90,Online Exclusive,https://www.uniqlo.com/us/en/products/912347-cashmere-scarf.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/912347/item/goods_87_912347.jpg,Soft and warm cashmere scarf.  Perfect for keeping you warm in the winter.
Uniqlo,Men's AIRism Crew Neck Undershirt,Men's Innerwear,$10.90,In Stock,https://www.uniqlo.com/us/en/products/023458-mens-airism-undershirt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/023458/item/goods_11_023458.jpg,Soft and comfortable AIRism undershirt.  Moisture-wicking and breathable.
Uniqlo,Women's Cotton Bralette,Women's Innerwear,$12.90,New Arrival,https://www.uniqlo.com/us/en/products/134569-womens-cotton-bralette.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/134569/item/goods_59_134569.jpg,Soft and comfortable cotton bralette.  Perfect for everyday wear.
Uniqlo,Baby Cotton Pants,Baby Clothing,$12.90,In Stock,https://www.uniqlo.com/us/en/products/245680-baby-cotton-pants.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/245680/item/goods_25_245680.jpg,Soft and comfortable cotton pants for babies.  Easy to dress and undress.
Uniqlo,Men's Slim Fit Jeans,Men's Jeans,$44.90,In Stock,https://www.uniqlo.com/us/en/products/356791-mens-slim-fit-jeans.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/356791/item/goods_61_356791.jpg,Slim-fit jeans with a comfortable stretch.  Classic style and versatile.
Uniqlo,Women's Cotton Midi Dress,Women's Dresses,$59.90,Online Exclusive,https://www.uniqlo.com/us/en/products/467892-womens-cotton-midi-dress.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/467892/item/goods_89_467892.jpg,Elegant and stylish midi dress made from soft cotton.  Perfect for any occasion.
Uniqlo,Leather Belt,Accessories - Belts,$12.90,New Arrival,https://www.uniqlo.com/us/en/products/578903-leather-belt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/578903/item/goods_33_578903.jpg,Versatile leather belt.  Classic style and durable construction.
Uniqlo,Men's Cotton T-Shirt,Men's T-Shirts,$14.90,In Stock,https://www.uniqlo.com/us/en/products/689014-mens-cotton-tshirt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/689014/item/goods_21_689014.jpg,Comfortable and breathable t-shirt made from soft cotton.  Perfect for everyday wear.
Uniqlo,Women's Cotton Shirt,Women's Shirts,$24.90,In Stock,https://www.uniqlo.com/us/en/products/790125-womens-cotton-shirt.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/790125/item/goods_47_790125.jpg,Lightweight and breathable cotton shirt.  Perfect for layering or wearing on its own.
Uniqlo,Kids' Denim Jeans,Kids' Bottoms,$15.90,Online Exclusive,https://www.uniqlo.com/us/en/products/801237-kids-denim-jeans.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/801237/item/goods_74_801237.jpg,Durable and comfortable denim jeans for kids.  Made from soft denim.
Uniqlo,Tote Bag,Accessories - Bags,$29.90,In Stock,https://www.uniqlo.com/us/en/products/912348-tote-bag.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/912348/item/goods_93_912348.jpg,Stylish and practical tote bag.  Perfect for everyday use.
Uniqlo,Men's Wool Blend Sweater,Men's Sweaters,$39.90,New Arrival,https://www.uniqlo.com/us/en/products/023459-mens-wool-blend-sweater.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/023459/item/goods_55_023459.jpg,Warm and cozy sweater made from a blend of wool and cashmere.  Perfect for colder weather.
Uniqlo,Women's Leggings,Women's Leggings,$19.90,In Stock,https://www.uniqlo.com/us/en/products/134570-womens-leggings.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/134570/item/goods_85_134570.jpg,Comfortable and versatile leggings.  Perfect for everyday wear.
Uniqlo,Men's Sweatpants,Men's Pants,$34.90,In Stock,https://www.uniqlo.com/us/en/products/245681-mens-sweatpants.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/245681/item/goods_27_245681.jpg,Comfortable and versatile sweatpants.  Perfect for lounging or working out.
Uniqlo,Women's Down Coat,Women's Outerwear,$129.90,Online Exclusive,https://www.uniqlo.com/us/en/products/356792-womens-down-coat.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/356792/item/goods_39_356792.jpg,Warm and stylish down coat with a detachable hood.  Perfect for winter.
Uniqlo,Kids' Winter Coat,Kids' Outerwear,$44.90,In Stock,https://www.uniqlo.com/us/en/products/467893-kids-winter-coat.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/467893/item/goods_70_467893.jpg,Warm and waterproof winter coat for kids.  Keeps your child warm and dry.
Uniqlo,Baby Organic Cotton Onesie,Baby Clothing,$10.90,New Arrival,https://www.uniqlo.com/us/en/products/578904-baby-organic-onesie.html,https://image.uniqlo.com/UQ/ST3/us/imagesgoods/578904/item/goods_95_578904.jpg,Soft and comfortable onesie for babies.  Made from organic cotton.
Gramedia,Bumi Manusia karya Pramoedya Ananta Toer,Novel Fiksi,Rp 85.000,Tersedia,https://www.gramedia.com/products/novel-bumi-manusia-pramoedya,https://cdn.gramedia.com/uploads/items/novel-bumi-manusia.jpg,Sebuah novel epik karya Pramoedya Ananta Toer yang mengisahkan perjuangan hidup di era kolonial.  Karya sastra Indonesia yang sangat penting.
Gramedia,Detektif Conan Vol. 1,Komik,Rp 45.000,Tersedia,https://www.gramedia.com/products/komik-detektif-conan-vol-1,https://cdn.gramedia.com/uploads/items/komik-detektif-conan-vol-1.jpg,Petualangan detektif cilik Conan Edogawa dalam memecahkan kasus-kasus misterius.  Edisi pertama yang seru!
